Date | Time | Message Type | First Two Words | Elapsed Time | Unique ID
2023-09-28 | 18:22:35.962 | [DBG] | Competition synchronization | 00:00:00.4377931 | batchy
2023-09-28 | 18:22:36.396 | [DBG] | Competition synchronization | 00:00:00.4334132 | batchy
2023-09-28 | 18:22:36.833 | [DBG] | Competition synchronization | 00:00:00.4371044 | batchy
2023-09-28 | 18:22:37.368 | [DBG] | Competition synchronization | 00:00:00.5345166 | batchy
2023-09-28 | 18:22:37.801 | [DBG] | Competition synchronization | 00:00:00.4327981 | batchy
2023-09-28 | 18:22:38.274 | [DBG] | Competition synchronization | 00:00:00.4722832 | batchy
2023-09-28 | 18:22:38.739 | [DBG] | Competition synchronization | 00:00:00.4649497 | batchy
2023-09-28 | 18:22:39.208 | [DBG] | Competition synchronization | 00:00:00.4685355 | batchy
2023-09-28 | 18:22:39.678 | [DBG] | Competition synchronization | 00:00:00.4683986 | batchy
2023-09-28 | 18:22:40.147 | [DBG] | Competition synchronization | 00:00:00.4682446 | batchy
2023-09-28 | 18:22:40.553 | [DBG] | Competition synchronization | 00:00:00.4059255 | batchy
2023-09-28 | 18:22:41.053 | [DBG] | Competition synchronization | 00:00:00.4998418 | batchy
2023-09-28 | 18:22:41.522 | [DBG] | Competition synchronization | 00:00:00.4683163 | batchy
2023-09-28 | 18:22:41.991 | [DBG] | Competition synchronization | 00:00:00.4687737 | batchy
2023-09-28 | 18:22:42.490 | [DBG] | Competition synchronization | 00:00:00.4995862 | batchy
2023-09-28 | 18:22:43.021 | [DBG] | Competition synchronization | 00:00:00.5306081 | batchy
2023-09-28 | 18:22:43.557 | [DBG] | Competition synchronization | 00:00:00.5349705 | batchy
2023-09-28 | 18:22:44.122 | [DBG] | Competition synchronization | 00:00:00.4950205 | batchy
2023-09-28 | 18:22:44.653 | [DBG] | Competition synchronization | 00:00:00.5307753 | batchy
2023-09-28 | 18:22:45.120 | [DBG] | Competition synchronization | 00:00:00.4654883 | batchy
2023-09-28 | 18:22:45.586 | [DBG] | Competition synchronization | 00:00:00.4651185 | batchy
2023-09-28 | 18:22:45.593 | [INF] | Available programs | 00:00:54.8699203 | batchy
2023-09-28 | 18:22:45.594 | [DBG] | GWS Request | 00:00:00.0020001 | batchy
2023-09-28 | 18:22:45.862 | [DBG] | GWS Request | 00:00:00.2670153 | batchy
2023-09-28 | 18:22:46.112 | [DBG] | GWS Request | 00:00:00.2500143 | batchy
2023-09-28 | 18:22:46.135 | [INF] | Duplicate SynchronizeCompetitionCommand | 00:00:02.0121151 | batchy
2023-09-28 | 18:22:46.135 | [INF] | Duplicate SynchronizeCompetitionCommand | 00:00:01.4810847 | batchy
2023-09-28 | 18:22:46.135 | [INF] | Duplicate SynchronizeCompetitionCommand | 00:00:01.0140580 | batchy
2023-09-28 | 18:22:46.135 | [INF] | Duplicate SynchronizeCompetitionCommand | 00:00:02.5081435 | batchy
2023-09-28 | 18:22:46.584 | [INF] | Available programs | 00:00:00.4473983 | batchy
2023-09-28 | 18:22:55.058 | [DBG] | GWS Request | 00:00:00.0020001 | batchy
2023-09-28 | 18:22:55.299 | [DBG] | GWS Request | 00:00:00.2410138 | batchy
2023-09-28 | 18:22:55.518 | [DBG] | GWS Request | 00:00:00.2190125 | batchy
2023-09-28 | 18:23:25.525 | [DBG] | GWS Request | 00:00:00.0020001 | batchy
2023-09-28 | 18:23:25.832 | [DBG] | GWS Request | 00:00:00.3070175 | batchy
2023-09-28 | 18:23:26.082 | [DBG] | GWS Request | 00:00:00.2500143 | batchy
2023-09-28 | 18:24:10.698 | [DBG] | GWS Request | 00:00:14.6138359 | batchy
2023-09-28 | 18:24:10.865 | [DBG] | GWS Request | 00:00:00.1670095 | batchy
2023-09-28 | 18:24:11.115 | [DBG] | GWS Request | 00:00:00.2500143 | batchy
2023-09-28 | 18:24:41.124 | [DBG] | GWS Request | 00:00:00.0030002 | batchy
2023-09-28 | 18:24:41.366 | [DBG] | GWS Request | 00:00:00.2420138 | batchy
